ID,Name,StudyHours,Attendance,Marks,Grade,Result,Performance Score
1,Student_1,4.4,96,59.5,D,Pass,68.5
2,Student_2,9.6,61,60.0,C,Pass,70.45
3,Student_3,7.6,65,80.2,B,Pass,79.57000000000001
4,Student_4,6.4,73,99.6,A,Pass,90.80999999999999
5,Student_5,2.4,68,79.7,B,Pass,69.61999999999999
6,Student_6,2.4,57,73.5,C,Pass,63.15
7,Student_7,1.5,80,83.8,B,Pass,73.28
8,Student_8,8.8,70,67.9,C,Pass,75.84
9,Student_9,6.4,66,43.6,D,Pass,55.459999999999994
10,Student_10,7.4,72,73.7,C,Pass,77.02
11,Student_11,1.2,86,97.5,A,Pass,82.4
12,Student_12,9.7,65,50.5,D,Pass,65.94999999999999
13,Student_13,8.5,55,69.99137749737118,C,Pass,72.7448264984227
14,Student_14,2.9,57,52.1,D,Pass,51.309999999999995
15,Student_15,2.6,74,72.1,C,Pass,66.96
16,Student_16,2.7,67,45.8,D,Pass,49.629999999999995
17,Student_17,3.7,74,67.0,C,Pass,66.1
18,Student_18,5.7,61,85.4,B,Pass,77.89000000000001
19,Student_19,4.9,64,60.9,C,Pass,62.34
20,Student_20,3.6,75,79.9,B,Pass,73.89
21,Student_21,6.5,90,87.7,B,Pass,88.12
22,Student_22,2.3,94,95.6,A,Pass,85.45999999999998
23,Student_23,3.6,75,69.99137749737118,C,Pass,67.9448264984227
24,Student_24,4.3,96,64.0,C,Pass,71.0
25,Student_25,5.1,81,49.1,D,Pass,59.91
26,Student_26,8.1,59,99.5,A,Pass,90.64999999999999
27,Student_27,2.8,65,95.6,A,Pass,79.20999999999998
28,Student_28,5.6,56,72.4,C,Pass,68.64
29,Student_29,6.3,66,90.5,A,Pass,83.39999999999999
30,Student_30,1.4,72,71.3,C,Pass,63.57999999999999
31,Student_31,6.5,75,77.4,B,Pass,78.19
32,Student_32,2.5,70,45.3,D,Pass,49.67999999999999
33,Student_33,1.6,71,85.3,B,Pass,72.13000000000001
34,Student_34,9.5,56,47.7,D,Pass,61.620000000000005
35,Student_35,9.7,63,89.6,B,Pass,88.91
36,Student_36,8.3,64,86.9,B,Pass,84.74000000000001
37,Student_37,3.7,56,82.5,B,Pass,70.9
38,Student_38,1.9,58,42.2,D,Pass,43.62
39,Student_39,7.2,100,58.2,D,Pass,74.32000000000001
40,Student_40,5.0,97,55.8,D,Pass,67.72999999999999
41,Student_41,2.1,57,61.6,C,Pass,55.410000000000004
42,Student_42,5.5,99,45.3,D,Pass,62.92999999999999
43,Student_43,1.3,72,96.2,A,Pass,78.32
44,Student_44,9.2,78,73.2,C,Pass,81.82
45,Student_45,3.3,67,58.3,D,Pass,58.33
46,Student_46,7.0,80,63.8,C,Pass,72.28
47,Student_47,3.8,79,66.8,C,Pass,67.42999999999999
48,Student_48,5.7,88,76.0,B,Pass,79.0
49,Student_49,5.9,84,70.9,C,Pass,75.34
50,Student_50,2.7,67,95.2,A,Pass,79.27000000000001
51,Student_51,9.7,91,69.8,C,Pass,84.03
52,Student_52,8.0,88,99.5,A,Pass,97.69999999999999
53,Student_53,9.5,66,91.1,A,Pass,90.16
54,Student_54,9.1,63,52.5,D,Pass,65.45
55,Student_55,6.4,80,95.8,A,Pass,90.27999999999999
56,Student_56,9.3,73,47.0,D,Pass,65.05000000000001
57,Student_57,1.8,84,89.0,B,Pass,78.0
58,Student_58,2.8,93,62.8,C,Pass,66.53
59,Student_59,1.4,94,92.7,A,Pass,81.92
60,Student_60,3.9,83,92.1,A,Pass,83.80999999999999
61,Student_61,4.5,52,88.4,B,Pass,75.03999999999999
62,Student_62,3.4,86,87.4,B,Pass,80.74
63,Student_63,8.5,92,58.3,D,Pass,74.97999999999999
64,Student_64,4.2,89,44.9,D,Pass,57.589999999999996
65,Student_65,3.5,75,64.2,C,Pass,64.27000000000001
66,Student_66,5.9,72,50.4,D,Pass,60.03999999999999
67,Student_67,2.3,93,81.7,B,Pass,76.87
68,Student_68,8.2,88,60.8,C,Pass,74.88
69,Student_69,1.7,64,98.5,A,Pass,78.5
70,Student_70,9.9,98,78.5,B,Pass,91.39999999999999
71,Student_71,8.0,53,89.3,B,Pass,82.83
72,Student_72,2.8,78,48.0,D,Pass,53.9
73,Student_73,1.0,71,91.7,A,Pass,74.77000000000001
74,Student_74,8.3,74,95.4,A,Pass,92.34
75,Student_75,7.4,62,69.2,C,Pass,71.82000000000001
76,Student_76,7.6,67,76.4,B,Pass,77.79
