ID,Name,StudyHours,Attendance,Marks,Grade,Result,Performance Score
2,Student_2,9.6,61,60.0,C,Pass,70.45
3,Student_3,7.6,65,80.2,B,Pass,79.57000000000001
4,Student_4,6.4,73,99.6,A,Pass,90.80999999999999
5,Student_5,2.4,68,79.7,B,Pass,69.61999999999999
6,Student_6,2.4,57,73.5,C,Pass,63.15
8,Student_8,8.8,70,67.9,C,Pass,75.84
9,Student_9,6.4,66,43.6,D,Pass,55.459999999999994
10,Student_10,7.4,72,73.7,C,Pass,77.02
12,Student_12,9.7,65,50.5,D,Pass,65.94999999999999
13,Student_13,8.5,55,69.99137749737118,C,Pass,72.7448264984227
14,Student_14,2.9,57,52.1,D,Pass,51.309999999999995
15,Student_15,2.6,74,72.1,C,Pass,66.96
16,Student_16,2.7,67,45.8,D,Pass,49.629999999999995
17,Student_17,3.7,74,67.0,C,Pass,66.1
18,Student_18,5.7,61,85.4,B,Pass,77.89000000000001
19,Student_19,4.9,64,60.9,C,Pass,62.34
26,Student_26,8.1,59,99.5,A,Pass,90.64999999999999
27,Student_27,2.8,65,95.6,A,Pass,79.20999999999998
28,Student_28,5.6,56,72.4,C,Pass,68.64
29,Student_29,6.3,66,90.5,A,Pass,83.39999999999999
30,Student_30,1.4,72,71.3,C,Pass,63.57999999999999
32,Student_32,2.5,70,45.3,D,Pass,49.67999999999999
33,Student_33,1.6,71,85.3,B,Pass,72.13000000000001
34,Student_34,9.5,56,47.7,D,Pass,61.620000000000005
35,Student_35,9.7,63,89.6,B,Pass,88.91
36,Student_36,8.3,64,86.9,B,Pass,84.74000000000001
37,Student_37,3.7,56,82.5,B,Pass,70.9
38,Student_38,1.9,58,42.2,D,Pass,43.62
41,Student_41,2.1,57,61.6,C,Pass,55.410000000000004
43,Student_43,1.3,72,96.2,A,Pass,78.32
45,Student_45,3.3,67,58.3,D,Pass,58.33
50,Student_50,2.7,67,95.2,A,Pass,79.27000000000001
53,Student_53,9.5,66,91.1,A,Pass,90.16
54,Student_54,9.1,63,52.5,D,Pass,65.45
56,Student_56,9.3,73,47.0,D,Pass,65.05000000000001
61,Student_61,4.5,52,88.4,B,Pass,75.03999999999999
66,Student_66,5.9,72,50.4,D,Pass,60.03999999999999
69,Student_69,1.7,64,98.5,A,Pass,78.5
71,Student_71,8.0,53,89.3,B,Pass,82.83
73,Student_73,1.0,71,91.7,A,Pass,74.77000000000001
74,Student_74,8.3,74,95.4,A,Pass,92.34
75,Student_75,7.4,62,69.2,C,Pass,71.82000000000001
76,Student_76,7.6,67,76.4,B,Pass,77.79
78,Student_78,1.7,65,50.5,D,Pass,49.949999999999996
82,Student_82,6.6,51,62.1,C,Pass,63.209999999999994
87,Student_87,7.6,62,73.0,C,Pass,74.5
88,Student_88,6.7,62,97.9,A,Pass,87.64000000000001
89,Student_89,9.0,67,65.9,C,Pass,74.28999999999999
99,Student_99,1.2,65,43.7,D,Pass,44.87
102,Student_102,6.7,59,43.5,D,Pass,54.24999999999999
104,Student_104,5.6,74,43.5,D,Pass,55.8
106,Student_106,3.2,69,99.0,A,Pass,83.05000000000001
107,Student_107,4.7,54,54.4,D,Pass,55.54
108,Student_108,7.8,50,48.5,D,Pass,57.199999999999996
111,Student_111,3.6,52,46.1,D,Pass,47.86
113,Student_113,9.4,63,43.7,D,Pass,60.769999999999996
116,Student_116,8.8,53,88.8,B,Pass,84.13
117,Student_117,8.2,67,76.9,B,Pass,79.28999999999999
119,Student_119,9.0,74,77.4,B,Pass,82.94
121,Student_121,8.3,50,65.6,C,Pass,68.46
123,Student_123,3.9,64,93.2,A,Pass,79.72
124,Student_124,2.0,58,67.0,C,Pass,58.699999999999996
125,Student_125,3.1,64,51.7,D,Pass,53.22
127,Student_127,8.4,73,64.8,C,Pass,73.92999999999999
128,Student_128,8.7,53,89.7,B,Pass,84.47
129,Student_129,1.1,61,84.0,B,Pass,67.85000000000001
133,Student_133,2.1,55,68.9,C,Pass,59.290000000000006
136,Student_136,3.9,73,85.6,B,Pass,77.40999999999998
137,Student_137,5.7,60,69.99137749737118,C,Pass,68.3948264984227
138,Student_138,7.3,62,72.1,C,Pass,73.36
140,Student_140,9.7,74,40.7,D,Pass,62.32
141,Student_141,9.7,56,69.99137749737118,C,Pass,75.3948264984227
142,Student_142,3.3,53,98.6,A,Pass,79.00999999999999
143,Student_143,5.5,57,88.1,B,Pass,78.10999999999999
144,Student_144,3.7,69,97.6,A,Pass,83.21000000000001
149,Student_149,1.5,59,90.7,A,Pass,72.17
155,Student_155,9.9,52,68.6,C,Pass,73.96
156,Student_156,3.2,55,62.6,C,Pass,57.71
157,Student_157,7.0,54,69.99137749737118,C,Pass,69.4948264984227
158,Student_158,7.9,54,67.6,C,Pass,69.86
160,Student_160,7.6,72,93.5,A,Pass,89.3
162,Student_162,6.7,58,87.2,B,Pass,80.22
164,Student_164,5.8,69,81.3,B,Pass,77.63
169,Student_169,1.4,67,94.1,A,Pass,76.00999999999999
170,Student_170,6.3,66,67.7,C,Pass,69.72
171,Student_171,7.1,73,78.2,B,Pass,79.37
172,Student_172,1.1,52,79.6,B,Pass,62.96
176,Student_176,2.6,62,44.0,D,Pass,47.1
178,Student_178,4.5,74,49.0,D,Pass,56.9
179,Student_179,9.4,58,84.2,B,Pass,83.82000000000001
180,Student_180,2.2,53,70.7,C,Pass,60.07
181,Student_181,4.1,63,80.8,B,Pass,72.42999999999999
184,Student_184,8.9,60,83.0,B,Pass,82.6
186,Student_186,6.9,52,44.3,D,Pass,53.379999999999995
189,Student_189,5.8,58,84.3,B,Pass,76.67999999999999
190,Student_190,3.2,52,61.2,C,Pass,56.12
191,Student_191,1.8,74,57.8,D,Pass,56.78
193,Student_193,9.1,61,86.5,B,Pass,85.35000000000001
195,Student_195,4.1,58,51.1,D,Pass,53.36
196,Student_196,4.1,64,50.4,D,Pass,54.44
198,Student_198,9.1,74,69.99137749737118,C,Pass,78.6948264984227
199,Student_199,9.0,54,85.9,B,Pass,83.03999999999999
200,Student_200,8.0,60,55.9,D,Pass,64.53999999999999
202,Student_202,1.8,73,44.9,D,Pass,48.79
203,Student_203,2.5,64,98.1,A,Pass,79.85999999999999
205,Student_205,6.5,57,86.2,B,Pass,78.97
206,Student_206,1.1,54,77.5,B,Pass,62.2
209,Student_209,1.0,67,47.3,D,Pass,47.129999999999995
210,Student_210,2.4,55,76.9,B,Pass,64.69
213,Student_213,6.9,62,71.8,C,Pass,72.38
215,Student_215,7.4,54,98.1,A,Pass,87.15999999999998
216,Student_216,3.1,62,87.9,B,Pass,74.44000000000001
217,Student_217,3.9,66,57.6,D,Pass,58.86
224,Student_224,4.3,52,47.7,D,Pass,50.220000000000006
229,Student_229,9.0,62,65.9,C,Pass,73.03999999999999
232,Student_232,5.5,55,96.6,A,Pass,82.71
233,Student_233,6.2,73,54.4,D,Pass,63.29
234,Student_234,5.4,68,47.3,D,Pass,56.17999999999999
235,Student_235,2.8,65,69.99137749737118,C,Pass,63.844826498422705
241,Student_241,9.5,62,90.8,A,Pass,88.97999999999999
244,Student_244,4.3,74,85.3,B,Pass,78.28
249,Student_249,9.7,56,79.4,B,Pass,81.03999999999999
250,Student_250,8.7,54,50.6,D,Pass,61.26
255,Student_255,2.5,72,49.9,D,Pass,52.94
257,Student_257,9.4,59,83.6,B,Pass,83.71
263,Student_263,2.3,67,72.5,C,Pass,64.85
265,Student_265,8.9,51,70.5,C,Pass,72.85
266,Student_266,7.7,63,57.9,D,Pass,65.89
267,Student_267,7.3,62,73.9,C,Pass,74.44
269,Student_269,4.2,61,92.4,A,Pass,79.09
271,Student_271,8.3,51,85.7,B,Pass,80.77000000000001
273,Student_273,8.8,62,67.7,C,Pass,73.72
278,Student_278,6.8,66,46.0,D,Pass,57.699999999999996
282,Student_282,4.0,73,73.3,C,Pass,70.22999999999999
286,Student_286,1.3,55,61.3,C,Pass,53.129999999999995
287,Student_287,5.2,68,87.0,B,Pass,79.6
289,Student_289,3.6,56,40.3,D,Pass,45.379999999999995
290,Student_290,6.3,59,85.7,B,Pass,78.77
295,Student_295,2.1,64,62.1,C,Pass,57.46
299,Student_299,6.6,71,92.6,A,Pass,86.51
300,Student_300,1.8,53,99.8,A,Pass,76.72999999999999
301,Student_301,1.5,69,62.1,C,Pass,57.51
305,Student_305,7.5,53,75.6,B,Pass,73.60999999999999
307,Student_307,5.6,66,64.8,C,Pass,66.58
308,Student_308,3.9,61,81.7,B,Pass,72.07000000000001
309,Student_309,8.2,71,40.2,D,Pass,58.27
310,Student_310,3.4,66,77.2,B,Pass,69.62
311,Student_311,5.0,59,61.3,C,Pass,61.529999999999994
312,Student_312,1.7,50,87.7,B,Pass,68.52000000000001
313,Student_313,1.2,71,45.6,D,Pass,47.51
315,Student_315,8.5,67,68.9,C,Pass,75.09
317,Student_317,4.7,63,43.9,D,Pass,51.49
320,Student_320,3.3,61,73.6,C,Pass,66.00999999999999
323,Student_323,6.9,61,88.3,B,Pass,82.02999999999999
324,Student_324,3.5,56,56.2,D,Pass,54.72
326,Student_326,7.6,60,69.9,C,Pass,72.14
328,Student_328,6.5,55,43.5,D,Pass,52.849999999999994
330,Student_330,3.2,64,87.1,B,Pass,74.66
333,Student_333,1.1,60,71.0,C,Pass,59.800000000000004
334,Student_334,2.0,72,66.4,C,Pass,61.84
340,Student_340,1.9,53,75.9,B,Pass,62.589999999999996
341,Student_341,5.4,66,84.1,B,Pass,77.75999999999999
343,Student_343,2.6,62,96.0,A,Pass,78.3
346,Student_346,6.5,64,78.2,B,Pass,75.92
349,Student_349,4.4,60,64.6,C,Pass,62.56
351,Student_351,5.5,51,63.0,C,Pass,61.55
353,Student_353,6.9,63,75.3,B,Pass,74.73
354,Student_354,2.5,69,51.1,D,Pass,52.91
355,Student_355,1.6,71,61.7,C,Pass,57.970000000000006
356,Student_356,6.8,60,60.1,C,Pass,64.66
358,Student_358,6.3,52,41.5,D,Pass,50.5
