ID,Name,StudyHours,Attendance,Marks,Grade,Result,Performance Score
4,Student_4,6.4,73,99.6,A,Pass,90.80999999999999
11,Student_11,1.2,86,97.5,A,Pass,82.4
22,Student_22,2.3,94,95.6,A,Pass,85.45999999999998
26,Student_26,8.1,59,99.5,A,Pass,90.64999999999999
27,Student_27,2.8,65,95.6,A,Pass,79.20999999999998
29,Student_29,6.3,66,90.5,A,Pass,83.39999999999999
43,Student_43,1.3,72,96.2,A,Pass,78.32
50,Student_50,2.7,67,95.2,A,Pass,79.27000000000001
52,Student_52,8.0,88,99.5,A,Pass,97.69999999999999
53,Student_53,9.5,66,91.1,A,Pass,90.16
55,Student_55,6.4,80,95.8,A,Pass,90.27999999999999
59,Student_59,1.4,94,92.7,A,Pass,81.92
60,Student_60,3.9,83,92.1,A,Pass,83.80999999999999
69,Student_69,1.7,64,98.5,A,Pass,78.5
73,Student_73,1.0,71,91.7,A,Pass,74.77000000000001
74,Student_74,8.3,74,95.4,A,Pass,92.34
86,Student_86,3.9,79,97.8,A,Pass,86.22999999999999
88,Student_88,6.7,62,97.9,A,Pass,87.64000000000001
103,Student_103,3.8,79,99.7,A,Pass,87.16999999999999
106,Student_106,3.2,69,99.0,A,Pass,83.05000000000001
115,Student_115,6.7,99,99.8,A,Pass,98.03
123,Student_123,3.9,64,93.2,A,Pass,79.72
142,Student_142,3.3,53,98.6,A,Pass,79.00999999999999
144,Student_144,3.7,69,97.6,A,Pass,83.21000000000001
149,Student_149,1.5,59,90.7,A,Pass,72.17
160,Student_160,7.6,72,93.5,A,Pass,89.3
161,Student_161,4.3,98,97.3,A,Pass,91.47999999999999
167,Student_167,3.9,84,90.5,A,Pass,83.1
169,Student_169,1.4,67,94.1,A,Pass,76.00999999999999
173,Student_173,5.6,81,93.7,A,Pass,87.67
188,Student_188,6.0,78,97.4,A,Pass,89.94
203,Student_203,2.5,64,98.1,A,Pass,79.85999999999999
215,Student_215,7.4,54,98.1,A,Pass,87.15999999999998
226,Student_226,3.2,83,95.7,A,Pass,84.57000000000001
232,Student_232,5.5,55,96.6,A,Pass,82.71
236,Student_236,7.5,89,93.2,A,Pass,93.17
240,Student_240,2.6,90,91.7,A,Pass,82.72000000000001
241,Student_241,9.5,62,90.8,A,Pass,88.97999999999999
242,Student_242,9.6,92,95.1,A,Pass,99.26
246,Student_246,9.4,85,90.5,A,Pass,94.35
252,Student_252,4.5,94,99.1,A,Pass,91.96
253,Student_253,8.7,100,96.2,A,Pass,100.12
261,Student_261,6.5,88,90.4,A,Pass,89.24000000000001
269,Student_269,4.2,61,92.4,A,Pass,79.09
277,Student_277,8.2,90,99.5,A,Pass,98.6
294,Student_294,4.2,77,97.5,A,Pass,86.15
299,Student_299,6.6,71,92.6,A,Pass,86.51
300,Student_300,1.8,53,99.8,A,Pass,76.72999999999999
304,Student_304,6.7,99,93.2,A,Pass,94.07000000000001
342,Student_342,5.3,84,99.9,A,Pass,91.53999999999999
343,Student_343,2.6,62,96.0,A,Pass,78.3
350,Student_350,6.6,81,90.4,A,Pass,87.69000000000001
363,Student_363,5.1,70,96.4,A,Pass,85.54
366,Student_366,4.5,86,92.4,A,Pass,85.94
367,Student_367,9.7,69,90.5,A,Pass,90.94999999999999
384,Student_384,8.9,65,97.4,A,Pass,92.49
390,Student_390,8.3,78,94.4,A,Pass,92.74000000000001
400,Student_400,7.8,73,94.4,A,Pass,90.49
405,Student_405,3.9,74,94.0,A,Pass,82.7
408,Student_408,1.1,56,97.8,A,Pass,74.88
410,Student_410,1.8,93,96.2,A,Pass,84.57
415,Student_415,6.7,97,98.9,A,Pass,96.99000000000001
432,Student_432,7.9,81,91.6,A,Pass,91.00999999999999
441,Student_441,1.8,71,96.7,A,Pass,79.36999999999999
442,Student_442,9.9,100,91.0,A,Pass,99.39999999999999
461,Student_461,2.1,82,92.7,A,Pass,80.32000000000001
462,Student_462,6.8,82,92.8,A,Pass,89.78
463,Student_463,7.7,90,92.2,A,Pass,93.22
466,Student_466,4.4,82,99.1,A,Pass,88.75999999999999
479,Student_479,9.7,91,97.9,A,Pass,100.89000000000001
488,Student_488,3.5,58,94.9,A,Pass,78.44
494,Student_494,2.7,61,91.4,A,Pass,75.49000000000001
495,Student_495,5.2,57,94.4,A,Pass,81.29
497,Student_497,6.3,99,99.0,A,Pass,96.75
501,Student_501,7.3,56,93.6,A,Pass,84.75999999999999
507,Student_507,9.2,71,92.9,A,Pass,91.89000000000001
510,Student_510,7.5,90,98.0,A,Pass,96.3
512,Student_512,4.8,63,99.0,A,Pass,84.75
516,Student_516,1.2,72,92.9,A,Pass,76.14000000000001
527,Student_527,4.7,78,91.5,A,Pass,83.80000000000001
551,Student_551,5.7,70,90.5,A,Pass,83.2
553,Student_553,6.0,73,98.7,A,Pass,89.47
561,Student_561,7.3,99,91.3,A,Pass,94.13
563,Student_563,2.2,100,90.2,A,Pass,83.52000000000001
573,Student_573,4.6,55,96.3,A,Pass,80.73
574,Student_574,6.6,88,92.3,A,Pass,90.58
579,Student_579,5.4,52,94.4,A,Pass,80.44
585,Student_585,6.7,82,91.9,A,Pass,89.04
588,Student_588,2.2,57,98.6,A,Pass,77.81
593,Student_593,2.6,91,95.1,A,Pass,85.01
595,Student_595,9.1,63,91.5,A,Pass,88.85000000000001
597,Student_597,7.0,51,94.6,A,Pass,83.50999999999999
601,Student_601,2.5,94,97.8,A,Pass,87.17999999999999
606,Student_606,5.1,74,92.4,A,Pass,84.14
620,Student_620,7.7,61,94.2,A,Pass,87.17000000000002
621,Student_621,2.7,85,91.1,A,Pass,81.31
631,Student_631,7.4,59,99.7,A,Pass,89.36999999999999
639,Student_639,3.4,69,94.6,A,Pass,80.80999999999999
642,Student_642,3.9,61,92.7,A,Pass,78.67
650,Student_650,5.5,61,93.6,A,Pass,82.41
662,Student_662,9.9,63,97.0,A,Pass,93.74999999999999
692,Student_692,4.8,99,95.9,A,Pass,91.88999999999999
699,Student_699,2.4,65,92.5,A,Pass,76.55
702,Student_702,1.5,57,99.6,A,Pass,77.00999999999999
708,Student_708,8.3,81,94.5,A,Pass,93.54999999999998
713,Student_713,5.2,96,97.3,A,Pass,92.78
732,Student_732,8.3,95,96.5,A,Pass,98.25
739,Student_739,5.0,63,94.8,A,Pass,82.63
741,Student_741,5.2,54,92.4,A,Pass,79.34
744,Student_744,5.5,77,94.1,A,Pass,86.71
759,Student_759,9.0,53,90.7,A,Pass,85.67
769,Student_769,4.1,62,91.5,A,Pass,78.60000000000001
770,Student_770,8.4,90,95.0,A,Pass,96.3
782,Student_782,5.9,61,93.4,A,Pass,83.08999999999999
796,Student_796,8.8,75,99.3,A,Pass,95.93
803,Student_803,6.2,51,97.8,A,Pass,83.83
813,Student_813,2.1,77,94.0,A,Pass,79.85000000000001
815,Student_815,8.8,75,97.4,A,Pass,94.78999999999999
817,Student_817,6.3,61,93.3,A,Pass,83.82999999999998
820,Student_820,4.0,97,99.0,A,Pass,91.65
822,Student_822,1.0,64,97.7,A,Pass,76.62
831,Student_831,3.0,99,90.0,A,Pass,84.75
839,Student_839,6.2,96,98.0,A,Pass,95.2
848,Student_848,10.0,62,99.6,A,Pass,95.25999999999999
849,Student_849,5.5,71,92.8,A,Pass,84.43
859,Student_859,6.1,77,97.8,A,Pass,90.13
860,Student_860,1.6,84,94.6,A,Pass,80.96
863,Student_863,5.7,91,92.2,A,Pass,89.47
869,Student_869,8.8,62,92.6,A,Pass,88.66
870,Student_870,9.5,53,96.6,A,Pass,90.21
873,Student_873,6.8,79,98.9,A,Pass,92.69
875,Student_875,1.2,56,91.8,A,Pass,71.48
885,Student_885,8.2,91,91.9,A,Pass,94.28999999999999
886,Student_886,2.6,85,98.8,A,Pass,85.73
891,Student_891,7.5,93,97.4,A,Pass,96.69
894,Student_894,4.6,96,91.2,A,Pass,87.92
896,Student_896,2.8,71,90.8,A,Pass,77.82999999999998
